index,stadium_name,lon,lat,attendance
480,Ceres Park,55.70270425,12.57226378,5240
481,Sydbank Park,55.397745,10.35022493,3855
482,BioNutria Park Randers,56.1327356,10.196762,6023
483,HDS Arena,55.2613291,9.4877072,1704
484,Energi Viborg Arena,56.46607165,10.01015413,3803
485,MCH Arena,55.7211638,12.3686863,7194
486,Brøndby Stadion,56.4559039,9.40202035,25102
487,EWII Park (Odense),56.1169164,8.951716477,4511
488,Right to Dream Park,55.6503299,12.4170778,2942
489,Blue Water Arena,55.397745,10.35022493,5148
490,Telia Parken,55.81619865,12.35303259,7785
491,Ceres Park,55.48194305,8.438397123,6194
492,Aalborg Portland Park,55.70270425,12.57226378,5831
493,Energi Viborg Arena,56.1327356,10.196762,3271
494,BioNutria Park Randers,57.05203525,9.898599342,4874
495,Sydbank Park,56.4559039,9.40202035,3255
496,Brøndby Stadion,56.46607165,10.01015413,10058
497,EWII Park (Odense),55.2613291,9.4877072,4310
498,HDS Arena,55.6503299,12.4170778,4892
499,Blue Water Arena,55.397745,10.35022493,2423
501,Right to Dream Park,55.7211638,12.3686863,4188
502,Telia Parken,55.48194305,8.438397123,14636
503,Aalborg Portland Park,55.81619865,12.35303259,8360
504,EWII Park (Odense),55.70270425,12.57226378,7459
505,BioNutria Park Randers,57.05203525,9.898599342,4581
506,Energi Viborg Arena,55.397745,10.35022493,3162
507,Telia Parken,56.46607165,10.01015413,16874
508,Brøndby Stadion,56.4559039,9.40202035,11186
509,MCH Arena,55.70270425,12.57226378,6932
510,MCH Arena,55.6503299,12.4170778,9522
511,Aalborg Portland Park,56.1169164,8.951716477,5620
512,HDS Arena,56.1169164,8.951716477,1740
513,Blue Water Arena,57.05203525,9.898599342,5012
514,Sydbank Park,55.7211638,12.3686863,6285
515,Ceres Park,55.48194305,8.438397123,9225
516,Right to Dream Park,55.2613291,9.4877072,3279
517,Blue Water Arena,56.1327356,10.196762,5825
518,Energi Viborg Arena,55.81619865,12.35303259,3167
519,EWII Park (Odense),55.48194305,8.438397123,5044
520,Brøndby Stadion,56.4559039,9.40202035,12350
521,Telia Parken,55.397745,10.35022493,16296
522,MCH Arena,55.6503299,12.4170778,5344
523,Aalborg Portland Park,55.70270425,12.57226378,6648
524,HDS Arena,56.1169164,8.951716477,1512
525,Sydbank Park,57.05203525,9.898599342,6545
526,BioNutria Park Randers,55.7211638,12.3686863,4869
527,Right to Dream Park,55.2613291,9.4877072,7351
528,Brøndby Stadion,56.46607165,10.01015413,11693
529,Aalborg Portland Park,55.81619865,12.35303259,5447
530,Ceres Park,55.6503299,12.4170778,8382
531,EWII Park (Odense),57.05203525,9.898599342,6611
