index,season,date,matchday,referee,stadium_name,attendance,h_team,a_team,h_result,a_result,h_points,a_points,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,a_possession,h_possession,h_fouls,a_fouls,h_red,a_red,h_yellow,a_yellow,h_corners,a_corners,h_odds,draw_odds,a_odds,h_pre_xg,a_pre_xg,h_xg,a_xg,h_shots_on,a_shots_on,h_shots_off,a_shots_off,gps
1816,21-22,Sep 26 2021,10,Mads-Kristoffer Kristoffersen,Aalborg Portland Park (Aalborg),,Nordsjælland,København,Lost,Won,0,3,1,5,0,1,14,13,0.43,0.57,7,10,0,0,0,3,4,3,4.01,4,"9,305,556",1.08,"10,138,889",1.52,1.57,4,7,10,6,"[57.05203525, 9.898599342025985]"
1817,21-22,Sep 26 2021,10,Sandi Putros,Vejle Stadion (Vejle),,Brøndby,AaB,Won,Lost,3,0,2,1,0,1,15,7,0.48,0.52,4,10,0,0,0,3,3,3,2.02,3.02,"14,375","8,541,667","9,513,889","9,097,222","5,625",6,2,9,5,"[55.71372409999999, 9.556157838024756]"
1818,21-22,Sep 26 2021,10,Mikkel Redder,Cepheus Park Randers (Randers),,Vejle,Silkeborg,Lost,Won,0,3,2,4,2,3,13,15,0.59,0.41,7,6,0,0,4,0,5,1,3.03,3.25,2,1.31,"9,097,222",1.36,"9,097,222",3,7,10,8,"[56.46607165, 10.010154126188361]"
1819,21-22,Sep 27 2021,10,Jonas Hansen,Sydbank Park (Haderslev),,AGF,Sønderjyske,Won,Lost,3,0,1,0,1,0,22,15,0.54,0.46,15,14,0,0,5,3,8,5,"9,930,556",3.06,4.01,1.58,1.59,2.36,1.19,9,0,13,15,"[55.2613291, 9.487707200000001]"
1820,21-22,Oct 01 2021,11,Jakob A. Sundberg,Parken (København),,OB,Vejle,Won,Lost,3,0,6,0,4,0,18,11,0.53,0.47,12,12,0,0,2,3,4,6,"8,472,222",4.01,5,"9,375",1.38,2.16,1.35,11,3,7,8,"[55.70270425, 12.572263776860414]"
1821,21-22,Oct 03 2021,11,Mikkel Redder,JYSK park (Silkeborg),,AaB,Sønderjyske,Won,Lost,3,0,4,0,2,0,20,12,0.48,0.52,13,6,0,0,1,3,6,6,"8,819,444",3.09,4.08,1.31,1.51,2.04,1.24,11,2,9,10,"[56.184187, 9.5751522579733]"
1822,21-22,Oct 03 2021,11,Anders Poulsen,MCH Arena (Herning),,Silkeborg,Nordsjælland,Won,Lost,3,0,4,1,2,1,14,16,0.48,0.52,6,8,0,0,2,3,1,5,2.35,3.06,2.08,1.56,1.54,1.49,"9,652,778",6,6,8,10,"[56.1169164, 8.951716477487706]"
1823,21-22,Oct 03 2021,11,Sandi Putros,Energi Viborg Arena (Viborg),,Midtjylland,AGF,Won,Lost,3,0,4,0,4,0,11,9,0.42,0.58,9,12,0,0,1,1,1,7,"9,513,889",3.06,4.05,"10,694,444",1.43,1.39,1.06,7,3,4,6,"[56.455903899999996, 9.402020349999999]"
1824,21-22,Oct 03 2021,11,Jens Maae,Right to Dream Park (Farum),,Randers,Brøndby,Draw,Draw,1,1,1,1,1,1,8,11,0.54,0.46,10,7,0,0,1,2,3,5,2.39,3.05,2.09,"9,236,111",1.56,1.08,1.04,3,5,5,6,"[55.81619865, 12.353032590985052]"
1825,21-22,Oct 03 2021,11,Morten Krogh,Brøndby Stadion (Brøndby),,København,Viborg,Draw,Draw,1,1,1,1,0,0,14,11,0.42,0.58,6,12,0,0,2,0,8,10,1.58,4.05,5.01,"9,861,111",1.07,"10,208,333",1.24,7,3,7,8,"[55.6480283, 12.4154952]"
